"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo",715,0.913154533844189,485,"81.224575608",0.9860139860139858,0.29896907216494845,0.20279720279720279,0.27628865979381445,0.1874125874125874,"8.564391343",14,0.2723936911172663,230,0.32167832167832167,252,0.35244755244755244
665833,"Cruz, Oneil",876,0.9125,590,"78.564221598",0.7557077625570776,0.34067796610169493,0.22945205479452055,0.2457627118644068,0.16552511415525115,"7.664186142",9,-9.78232019516209,286,0.3264840182648402,304,0.3470319634703196
656941,"Schwarber, Kyle",959,0.9047169811320754,687,"77.516124338",0.7799791449426489,0.3245997088791849,0.23253388946819603,0.22998544395924309,0.16475495307612095,"7.710202054",35,-6.889154706314933,272,0.28362877997914493,344,0.3587069864442127
592450,"Judge, Aaron",1010,0.912375790424571,721,"77.146849535",0.7475247524752476,0.33841886269070737,0.24158415841584158,0.2579750346740638,0.18415841584158416,"8.178267574",14,52.21014842331216,289,0.2861386138613861,343,0.33960396039603963
666176,"Adell, Jo",797,0.9046538024971623,578,"76.674033049",0.658720200752823,0.2508650519031142,0.18193224592220827,0.1522491349480969,0.11041405269761606,"7.555006148",20,-18.52181296001368,219,0.27478042659974905,262,0.328732747804266
656305,"Chapman, Matt",990,0.9049360146252285,757,"76.599640596",0.6414141414141415,0.2813738441215324,0.21515151515151515,0.18494055482166447,0.1414141414141414,"7.451106121",21,-4.110118880408529,233,0.23535353535353534,348,0.3515151515151515
670541,"Alvarez, Yordan",914,0.913086913086913,741,"76.545736991",0.6301969365426696,0.3427800269905533,0.2778993435448578,0.22402159244264508,0.18161925601750548,"7.582607888",1,23.156524913917927,173,0.18927789934354486,406,0.4442013129102845
660271,"Ohtani, Shohei",1129,0.9068273092369478,803,"76.29870178",0.6395039858281663,0.386052303860523,0.2745792736935341,0.2577833125778331,0.183348095659876,"7.740923516",10,35.10353607653373,326,0.2887511071744907,420,0.3720106288751107
683002,"Henderson, Gunnar",1109,0.9038304808475958,868,"76.28623982",0.6447249774571686,0.3225806451612903,0.25247971145175835,0.22811059907834103,0.17853922452660054,"7.233485852",20,-5.457286326778579,241,0.21731289449954913,429,0.38683498647430115
677594,"Rodríguez, Julio",1093,0.9055509527754764,768,"76.258332077",0.6340347666971636,0.2955729166666667,0.20768526989935956,0.20572916666666666,0.1445562671546203,"7.899078454",30,-14.50228802784035,325,0.29734675205855443,359,0.3284537968892955
666624,"Morel, Christopher",956,0.9053030303030303,636,"76.088461255",0.6474895397489537,0.3018867924528302,0.200836820083682,0.1761006289308176,0.11715481171548117,"8.016552824",24,-34.159063540109685,320,0.33472803347280333,333,0.348326359832636
665489,"Guerrero Jr., Vladimir",1046,0.9095652173913044,840,"75.877687505",0.5745697896749524,0.34523809523809523,0.27724665391969405,0.24166666666666667,0.19407265774378585,"7.739410296",9,24.317748321153058,206,0.19694072657743786,443,0.4235181644359465
665742,"Soto, Juan",921,0.9056047197640118,748,"75.428274083",0.5917480998914224,0.393048128342246,0.31921824104234525,0.25267379679144386,0.20521172638436483,"7.287238654",28,13.588277081039136,173,0.18783930510314875,409,0.44408251900108575
624585,"Soler, Jorge",881,0.9082474226804124,644,"75.406534926",0.5664018161180477,0.296583850931677,0.21679909194097616,0.15683229813664595,0.11464245175936436,"7.936281283",12,-7.108614088725057,237,0.2690124858115778,315,0.35754824063564133
671218,"Ramos, Heliot",873,0.9074844074844075,654,"75.240581191",0.5521191294387173,0.2981651376146789,0.22336769759450173,0.1834862385321101,0.13745704467353953,"6.936671443",28,-7.1954793862616135,219,0.2508591065292096,319,0.3654066437571592
592669,"Renfroe, Hunter",631,0.9131693198263386,496,"75.240395055",0.5277337559429476,0.29838709677419356,0.23454833597464342,0.15725806451612903,0.12361331220285261,"7.617267861",8,-9.59813621892738,135,0.21394611727416799,275,0.4358161648177496
624413,"Alonso, Pete",992,0.9001814882032668,763,"75.234998024",0.5181451612903226,0.2961992136304063,0.22782258064516128,0.18610747051114024,0.1431451612903226,"7.318061079",19,-10.859541205083145,229,0.23084677419354838,387,0.3901209677419355
663586,"Riley, Austin",754,0.908433734939759,563,"75.230383329",0.5358090185676392,0.3268206039076377,0.2440318302387268,0.2024866785079929,0.15119363395225463,"7.509214257",24,-4.8320578060111,191,0.253315649867374,264,0.35013262599469497
641933,"O'Neill, Tyler",733,0.9060568603213844,481,"75.223714843",0.5184174624829467,0.28274428274428276,0.1855388813096862,0.18087318087318088,0.11869031377899045,"7.594253929",11,3.3526984448877295,252,0.34379263301500684,209,0.28512960436562074
592518,"Machado, Manny",1033,0.9053461875547765,811,"75.219474579",0.5256534365924488,0.3193588162762022,0.25072604065827686,0.20838471023427868,0.16360116166505323,"7.775955276",23,-6.191918105477102,222,0.2149080348499516,419,0.40561471442400776
682829,"De La Cruz, Elly",989,0.9056776556776557,691,"75.184269029",0.5389282103134481,0.31693198263386396,0.22143579373104147,0.18958031837916064,0.13245702730030334,"7.281975824",31,2.832530340879714,298,0.301314459049545,350,0.3538928210313448
660821,"Sánchez, Jesús",891,0.9064089521871821,614,"75.164348833",0.5443322109988777,0.32247557003257327,0.2222222222222222,0.19055374592833876,0.13131313131313133,"7.14619541",13,-17.170126230560808,277,0.3108866442199775,300,0.3367003367003367
663624,"Mountcastle, Ryan",896,0.9087221095334685,690,"75.092982121",0.5055803571428573,0.2753623188405797,0.21205357142857142,0.1608695652173913,0.12388392857142858,"7.482878438",14,-10.038172039656143,206,0.22991071428571427,317,0.35379464285714285
572233,"Walker, Christian",915,0.9014778325123153,708,"75.045019661",0.5278688524590165,0.2612994350282486,0.20218579234972678,0.15819209039548024,0.12240437158469945,"7.544497672",32,-12.766658111719511,207,0.2262295081967213,303,0.33114754098360655
670042,"Raley, Luke",752,0.9005988023952096,512,"74.970934029",0.5079787234042553,0.26953125,0.18351063829787234,0.16796875,0.11436170212765957,"7.24988891",16,-4.070624453129796,240,0.3191489361702128,236,0.31382978723404253
671739,"Harris II, Michael",761,0.905952380952381,584,"74.719573377",0.4796320630749014,0.3065068493150685,0.2352168199737188,0.1952054794520548,0.1498028909329829,"8.060931905",11,-8.522069049777588,177,0.2325886990801577,300,0.39421813403416556
665487,"Tatis Jr., Fernando",636,0.9034090909090909,478,"74.711434418",0.47798742138364764,0.37447698744769875,0.28144654088050314,0.22594142259414227,0.16981132075471697,"7.329773475",29,-7.431556619885675,158,0.24842767295597484,252,0.39622641509433965
669394,"Burger, Jake",929,0.902818270165209,665,"74.688491916",0.4693218514531757,0.33383458646616543,0.23896663078579117,0.20150375939849624,0.1442411194833154,"7.483993111",17,0.8311061340803406,264,0.28417653390742736,341,0.36706135629709363
682985,"Greene, Riley",890,0.9072375127420998,661,"74.679756034",0.45730337078651695,0.3071104387291982,0.22808988764044943,0.16944024205748864,0.1258426966292135,"7.198148764",7,-6.864409159434844,229,0.2573033707865168,308,0.34606741573033706
661388,"Contreras, William",1090,0.9068219633943427,813,"74.668738789",0.5036697247706421,0.34932349323493234,0.26055045871559634,0.2091020910209102,0.1559633027522936,"7.341808587",24,-3.6806787085225565,277,0.25412844036697246,419,0.38440366972477064
677951,"Witt Jr., Bobby",1111,0.911402789171452,875,"74.664595032",0.4833483348334834,0.3485714285714286,0.2745274527452745,0.20457142857142857,0.16111611161116113,"7.096457183",16,19.80558253642215,236,0.21242124212421243,468,0.42124212421242124
677800,"Abreu, Wilyer",756,0.907563025210084,557,"74.554858995",0.44576719576719565,0.30700179533213645,0.2261904761904762,0.15978456014362658,0.11772486772486772,"7.392287765",17,-9.747421622553409,199,0.26322751322751325,263,0.3478835978835979
673357,"Robert Jr., Luis",715,0.9016393442622951,482,"74.543607455",0.47552447552447563,0.2821576763485477,0.1902097902097902,0.15560165975103735,0.1048951048951049,"7.737383986",12,-12.624778013880379,233,0.3258741258741259,233,0.3258741258741259
